j,# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
2539948,01/09/2022 05:41:24,Class A,230352000,57.781333,10.412902,Under way using engine,0.0,13.5,67.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2541068,01/09/2022 05:41:33,Class A,230352000,57.78155,10.413872999999999,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2542472,01/09/2022 05:41:44,Class A,230352000,57.781792,10.414957000000001,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2543732,01/09/2022 05:41:53,Class A,230352000,57.782031999999994,10.416038,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2545048,01/09/2022 05:42:03,Class A,230352000,57.782275,10.417117,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2546299,01/09/2022 05:42:13,Class A,230352000,57.782493,10.418088000000001,Under way using engine,0.0,13.5,67.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2547799,01/09/2022 05:42:24,Class A,230352000,57.782787,10.419385,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2548938,01/09/2022 05:42:33,Class A,230352000,57.783003,10.420357000000001,Under way using engine,0.0,13.5,66.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2550327,01/09/2022 05:42:44,Class A,230352000,57.783248,10.421433,Under way using engine,0.0,13.5,66.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2551614,01/09/2022 05:42:53,Class A,230352000,57.783497,10.422512,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2552929,01/09/2022 05:43:03,Class A,230352000,57.78374300000001,10.423587,Under way using engine,0.0,13.5,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2554183,01/09/2022 05:43:13,Class A,230352000,57.783962,10.424558,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2555661,01/09/2022 05:43:24,Class A,230352000,57.784252,10.425857,Under way using engine,0.0,13.5,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2556782,01/09/2022 05:43:33,Class A,230352000,57.784465000000004,10.42683,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2558164,01/09/2022 05:43:44,Class A,230352000,57.784707999999995,10.427908,Under way using engine,0.0,13.5,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2559165,01/09/2022 05:43:51,Class A,230352000,57.784707999999995,10.427908,Under way using engine,0.0,13.5,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2559427,01/09/2022 05:43:53,Class A,230352000,57.784953,10.428987,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2560840,01/09/2022 05:44:04,Class A,230352000,57.785217,10.430178,Under way using engine,0.0,13.5,67.5,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2561962,01/09/2022 05:44:13,Class A,230352000,57.78540699999999,10.431045,Under way using engine,0.0,13.5,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2563490,01/09/2022 05:44:24,Class A,230352000,57.785693,10.432345,Under way using engine,0.0,13.5,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2564610,01/09/2022 05:44:33,Class A,230352000,57.785915,10.433314999999999,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2565989,01/09/2022 05:44:44,Class A,230352000,57.78615799999999,10.434391999999999,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2567346,01/09/2022 05:44:54,Class A,230352000,57.786425,10.435578,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2568718,01/09/2022 05:45:04,Class A,230352000,57.786667,10.436658,Under way using engine,0.0,13.5,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2569865,01/09/2022 05:45:13,Class A,230352000,57.786857,10.437522,Under way using engine,0.0,13.5,67.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2571389,01/09/2022 05:45:24,Class A,230352000,57.787155000000006,10.438815,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2572525,01/09/2022 05:45:33,Class A,230352000,57.787375,10.439782000000001,Under way using engine,0.0,13.5,66.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2573910,01/09/2022 05:45:44,Class A,230352000,57.78762,10.440858,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2575249,01/09/2022 05:45:54,Class A,230352000,57.78789499999999,10.442039999999999,Under way using engine,0.0,13.5,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2576582,01/09/2022 05:46:04,Class A,230352000,57.788146999999995,10.443113,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2577713,01/09/2022 05:46:13,Class A,230352000,57.788340000000005,10.443977,Under way using engine,0.0,13.5,66.5,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2579232,01/09/2022 05:46:24,Class A,230352000,57.788627000000005,10.445275,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2580369,01/09/2022 05:46:33,Class A,230352000,57.78884,10.446253,Under way using engine,0.0,13.5,67.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2581796,01/09/2022 05:46:44,Class A,230352000,57.789080000000006,10.447335,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2583130,01/09/2022 05:46:54,Class A,230352000,57.789348,10.448525,Under way using engine,0.0,13.5,67.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2584422,01/09/2022 05:47:04,Class A,230352000,57.789592000000006,10.449608,Under way using engine,0.0,13.5,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2585657,01/09/2022 05:47:13,Class A,230352000,57.789809999999996,10.450585,Under way using engine,0.0,13.5,67.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2587100,01/09/2022 05:47:24,Class A,230352000,57.790077000000004,10.451777,Under way using engine,0.0,13.5,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2588341,01/09/2022 05:47:34,Class A,230352000,57.790298,10.452752,Under way using engine,0.0,13.6,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2589710,01/09/2022 05:47:44,Class A,230352000,57.790538,10.453835,Under way using engine,0.0,13.5,67.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2591082,01/09/2022 05:47:54,Class A,230352000,57.790802,10.455033,Under way using engine,0.0,13.5,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2592489,01/09/2022 05:48:04,Class A,230352000,57.791038,10.45612,Under way using engine,0.0,13.5,67.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2593745,01/09/2022 05:48:13,Class A,230352000,57.79125500000001,10.457094999999999,Under way using engine,0.0,13.5,67.5,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2595238,01/09/2022 05:48:24,Class A,230352000,57.791527,10.458285,Under way using engine,0.0,13.5,67.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2596493,01/09/2022 05:48:34,Class A,230352000,57.791746999999994,10.459255,Under way using engine,0.0,13.5,66.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2597839,01/09/2022 05:48:44,Class A,230352000,57.791998,10.460332000000001,Under way using engine,0.0,13.5,66.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2599186,01/09/2022 05:48:54,Class A,230352000,57.792269999999995,10.461522,Under way using engine,0.0,13.5,66.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2600522,01/09/2022 05:49:04,Class A,230352000,57.79251,10.462608,Under way using engine,0.0,13.5,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2601724,01/09/2022 05:49:13,Class A,230352000,57.792722999999995,10.463587,Under way using engine,0.0,13.5,68.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2603167,01/09/2022 05:49:24,Class A,230352000,57.79299,10.464782000000001,Under way using engine,0.0,13.6,67.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2604414,01/09/2022 05:49:34,Class A,230352000,57.793212,10.465755,Under way using engine,0.0,13.6,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2605585,01/09/2022 05:49:43,Class A,230352000,57.79343000000001,10.466732,Under way using engine,0.0,13.6,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2607104,01/09/2022 05:49:54,Class A,230352000,57.793723,10.468033,Under way using engine,0.0,13.6,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2607263,01/09/2022 05:49:55,Class A,230352000,57.793723,10.468033,Under way using engine,0.0,13.6,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2608434,01/09/2022 05:50:04,Class A,230352000,57.793963,10.46912,Under way using engine,0.0,13.6,67.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2609676,01/09/2022 05:50:13,Class A,230352000,57.794185,10.470098,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2611170,01/09/2022 05:50:24,Class A,230352000,57.794452,10.471292,Under way using engine,0.0,13.6,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2612432,01/09/2022 05:50:34,Class A,230352000,57.794672999999996,10.472267,Under way using engine,0.0,13.6,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2613648,01/09/2022 05:50:43,Class A,230352000,57.794897999999996,10.473239999999999,Under way using engine,0.0,13.6,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2615164,01/09/2022 05:50:54,Class A,230352000,57.79519499999999,10.474538,Under way using engine,0.0,13.6,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2616538,01/09/2022 05:51:04,Class A,230352000,57.79544,10.475625,Under way using engine,0.0,13.6,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2617764,01/09/2022 05:51:13,Class A,230352000,57.79565699999999,10.476602999999999,Under way using engine,0.0,13.6,67.5,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2619201,01/09/2022 05:51:24,Class A,230352000,57.795925,10.477795,Under way using engine,0.0,13.6,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2620441,01/09/2022 05:51:34,Class A,230352000,57.796144999999996,10.478772,Under way using engine,0.0,13.6,66.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2621602,01/09/2022 05:51:43,Class A,230352000,57.796363,10.479747999999999,Under way using engine,0.0,13.6,67.7,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2622932,01/09/2022 05:51:53,Class A,230352000,57.796627,10.480945,Under way using engine,0.0,13.6,68.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2624386,01/09/2022 05:52:04,Class A,230352000,57.796890000000005,10.482142999999999,Under way using engine,0.0,13.6,67.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2625482,01/09/2022 05:52:13,Class A,230352000,57.797107,10.483118,Under way using engine,0.0,13.6,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2626986,01/09/2022 05:52:24,Class A,230352000,57.797378,10.484313,Under way using engine,0.0,13.6,66.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2628100,01/09/2022 05:52:33,Class A,230352000,57.797568000000005,10.485183000000001,Under way using engine,0.0,13.6,67.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2629433,01/09/2022 05:52:43,Class A,230352000,57.797813,10.486267999999999,Under way using engine,0.0,13.6,67.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2630815,01/09/2022 05:52:53,Class A,230352000,57.798083,10.48746,Under way using engine,0.0,13.6,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2632302,01/09/2022 05:53:04,Class A,230352000,57.79835500000001,10.488652,Under way using engine,0.0,13.6,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2633447,01/09/2022 05:53:13,Class A,230352000,57.79858,10.489627,Under way using engine,0.0,13.6,66.6,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2634881,01/09/2022 05:53:24,Class A,230352000,57.798832,10.490707,Under way using engine,0.0,13.6,66.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2636137,01/09/2022 05:53:33,Class A,230352000,57.79906,10.491677000000001,Under way using engine,0.0,13.6,65.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2637480,01/09/2022 05:53:43,Class A,230352000,57.799315,10.492755,Under way using engine,0.0,13.6,66.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2638846,01/09/2022 05:53:53,Class A,230352000,57.799587,10.493947,Under way using engine,0.0,13.6,67.0,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2640357,01/09/2022 05:54:04,Class A,230352000,57.799853000000006,10.495142999999999,Under way using engine,0.0,13.6,67.6,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2641523,01/09/2022 05:54:13,Class A,230352000,57.800067000000006,10.496127,Under way using engine,0.0,13.6,68.2,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2642964,01/09/2022 05:54:24,Class A,230352000,57.8003,10.497222,Under way using engine,0.0,13.6,68.7,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2644181,01/09/2022 05:54:33,Class A,230352000,57.800505,10.498208,Under way using engine,0.0,13.6,68.6,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2645543,01/09/2022 05:54:43,Class A,230352000,57.800734999999996,10.499303,Under way using engine,0.0,13.6,67.7,68.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2646908,01/09/2022 05:54:53,Class A,230352000,57.800998,10.5005,Under way using engine,0.0,13.5,68.0,69.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2647414,01/09/2022 05:54:57,Class A,230352000,57.801067,10.500828,Under way using engine,,13.5,68.0,70.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2647941,01/09/2022 05:55:00,Class A,230352000,57.801157999999994,10.501265,Under way using engine,0.0,13.6,68.5,71.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
